cluster,Name,S_pc,Z,Z_e,log_age,log_age_e,V_esc_km/s,V_rel_km/s,V_rel_e,V_esc_e,a_kpc,e,p_Myr,i_deg,rt_pc,rt_e,R_roc_pc,R_J_pc,S_pc.1,origin,Status
92,CWNU_1405,139.6621269,0.0152,0.004435567,6.670245853,0.173426392,9.306867595,7.227115636,1.611192266,3.602737021,9.312322501,0.408708731,0.812443774,85.68587402,15.07505295,1.174759854,7.938178461,6.900253312,139.6621269,N,Detached
92,CWNU_2232,139.6621269,0.0480666,0.014026488,6.650307523,0.172907996,9.306867595,7.227115636,1.611192266,3.602737021,8.888326389,0.387996991,0.757593594,85.19966817,33.89682794,4.288195583,14.21151646,12.40933208,139.6621269,N,Detached
134,CWNU_2404,354.0462492,0.0480666,0.014026488,6.640481437,0.172652517,3.168073347,5.095319532,0.461736073,2.489799823,15.37254564,0.326607318,1.72315756,94.75710394,31.63885138,1.130841786,9.405110814,7.861159137,354.0462492,N,Detached
134,UBC_1125,354.0462492,0.0152,0.004435567,8.969881644,0.233216923,3.168073347,5.095319532,0.461736073,2.489799823,14.41614328,0.357483569,1.564876029,72.70517922,8.30453185,0.411642757,7.854091471,6.537317776,354.0462492,N,Detached
141,CWNU_2583,80.12501287,0.0480666,0.014026488,6.800029359,0.176800763,5.988794048,8.989154586,0.839247154,3.782432528,11.39459856,0.141050957,1.099650933,92.1484248,15.86874235,4.547827014,8.093852108,6.710453584,80.12501287,Y,Detached
141,CWNU_2613,80.12501287,0.0480666,0.014026488,6.720159303,0.174724142,5.988794048,8.989154586,0.839247154,3.782432528,11.35584026,0.139127534,1.094045074,91.8311501,15.82342107,1.119138279,8.323908905,6.894999451,80.12501287,Y,Detached
158,Collinder_367,72.99635017,0.0480666,0.014026488,6.620136055,0.172123537,6.926228779,10.08653334,1.079581264,3.256542745,8.372754992,0.017613539,0.692642087,97.04014388,23.44410952,25.1560368,7.900414048,7.166803959,72.99635017,Y,Detached
158,ESO_522-05,72.99635017,0.0270298,0.007887664,8.439332694,0.21942265,6.926228779,10.08653334,1.079581264,3.256542745,8.195191115,0.009442361,0.670725676,97.9510477,9.908633624,0.961268971,5.52819609,4.991891593,72.99635017,Y,Detached
160,Collinder_419,54.40308227,0.0152,0.004435567,7.100370545,0.184609634,14.47046345,8.593466453,2.566836914,6.266871929,9.752326749,0.137867266,0.870700249,92.92190883,15.35845196,8.655376273,14.33663355,12.27547404,54.40308227,Y,Detached
160,Dolidze_8,54.40308227,0.0270298,0.007887664,7.519827994,0.195515528,14.47046345,8.593466453,2.566836914,6.266871929,9.064325902,0.120527284,0.780206512,91.12593964,6.284540337,0.620721881,7.326045939,6.365332777,54.40308227,Y,Detached
181,FSR_0569,29.75667434,0.0270298,0.007887664,7.06069784,0.183578144,13.10542856,11.71991755,2.163926571,6.312772487,10.00102555,0.170462915,0.904217917,88.29908621,9.856234918,5.848273772,11.39028253,9.613800057,29.75667434,N,Detached
181,UBC_415,29.75667434,0.0152,0.000443557,7.250420002,0.18851092,13.10542856,11.71991755,2.163926571,6.312772487,9.902163686,0.17793478,0.89084358,89.59343012,5.251520526,0.242223169,6.937348816,6.05728634,29.75667434,N,Detached
214,HSC_175,40.72713685,0.0270298,0.007887664,7.281033367,0.189306868,12.92696291,6.72433947,1.831020171,0.965637694,8.684255709,0.012916835,0.731653084,96.67918789,11.09400224,4.815584952,8.145739667,7.525190007,40.72713685,Y,Detached
214,OC_0024,40.72713685,0.0480666,0.014026488,6.69019608,0.173945098,12.92696291,6.72433947,1.831020171,0.965637694,8.545675607,0.008505596,0.714209969,99.44683809,23.59751813,6.387947953,8.294180865,7.644730555,40.72713685,Y,Detached
220,HSC_573,55.31472622,0.0480666,0.014026488,8.740362689,0.22724943,13.93275852,8.589888026,2.192245135,4.865360797,11.76827981,0.141751792,1.154185947,85.32736591,27.12861563,4.55511917,9.02590951,7.877105238,55.31472622,N,Detached
